species_no,species_name,taxo_group,m_BS,m_SE,f_BS,f_SE,error type,measure,measurement,SSD_index,logF-logM,data_available,mating_system,parental_care
116,Macaca arctoides,mammal,17787,NA,12100,NA,NA,mass,body mass (g),0.47,-0.167,2,multiple mating,biparental
117,Macaca assamensis,mammal,11300,NA,6900,NA,NA,mass,body mass (g),0.638,-0.214,2,multiple mating,biparental
118,Macropus agilis,mammal,20700,1900,10200,300,SE,mass,body mass (g),1.029,-0.307,2,multiple mating,maternal
119,Macropus giganteus,mammal,66000,NA,32000,NA,NA,mass,body mass (g),1.063,-0.314,2,multiple mating,maternal
120,Malurus cyaneus,bird,11.3,0.8,10.5,0.8,SD,mass,body mass (g),0.076,-0.032,2,monogamy,cooperative
121,Mantis religiosa,invertebrate,0.48,0.19,1.88,0.36,SD,mass,body mass (g),-0.745,0.593,2,multiple mating,maternal
122,Megadyptes antipodes,bird,5530,340,5130,320,SD,mass,body mass (g),0.078,-0.033,2,monogamy,biparental
123,Melopsittacus undulatus,bird,29.2,1.9,28.8,2.1,SD,mass,body mass (g),0.014,-0.006,2,monogamy,biparental
124,Microcebus murinus,mammal,90.2,2.8,109,3.8,SE,mass,body mass (g),-0.172,0.082,2,multiple mating,maternal
125,Micromys minutus,mammal,63.3,NA,75.2,NA,NA,length,body length (mm),-0.158,0.075,2,NA,maternal
126,Microtus arvalis,mammal,35.7,7.2,30.4,4.1,SE,mass,body mass (g),0.174,-0.07,2,multiple mating,biparental
127,Microtus guentheri,mammal,44.7,6.7,43.3,8.3,SE,mass,body mass (g),0.032,-0.014,2,NA,biparental
128,Microtus ochrogaster,mammal,41.6,6.5,41.7,6.4,,mass,body mass (g),-0.002,0.001,2,monogamy,biparental
129,Miliaria calandra,bird,53.6,4.1,43.9,3.1,SD,mass,body mass (g),0.221,-0.087,2,monogamy,maternal
130,Molothrus ater,bird,49.62,4.07,39.14,2.8,,mass,body mass (g),0.268,-0.103,2,monogamy,none
131,Motacilla alba,bird,22.3,NA,19.75,NA,NA,mass,body mass (g),0.129,-0.053,2,monogamy,biparental
132,Motacilla cinerea,bird,18,1.4,17.2,1.4,SD,mass,body mass (g),0.047,-0.02,2,monogamy,biparental
133,Motacilla flava,bird,19.35,NA,16.9,NA,NA,mass,body mass (g),0.145,-0.059,2,monogamy,biparental
134,Mus musculus,mammal,35.52,1.63,26.57,0.39,SE,mass,body mass (g),0.337,-0.126,2,multiple mating,maternal
135,Mus spicilegus,mammal,11.38,0.21,10.7,0.18,SE,mass,body mass (g),0.064,-0.027,2,monogamy,cooperative
136,Mustela lutreola,mammal,976.6,21.3,667,58.8,SE,mass,body mass (g),0.464,-0.166,2,multiple mating,maternal
137,Nannospalax ehrenbergi,mammal,175.6,4.23,137,1.92,SE,mass,body mass (g),0.282,-0.108,2,monogamy,maternal
138,Nebria brevicollis,invertebrate,0.067237,0.001343,0.074077,0.00253,SE,mass,body mass (g),-0.092,0.042,2,NA,maternal
139,Neochmia phaeton,bird,10,0.09,9.65,0.09,SE,mass,body mass (g),0.036,-0.015,2,monogamy,biparental
140,Neogobius melanostomus,fish,63,33,69,29,SD,length,body length (mm),-0.087,0.04,2,multiple mating,paternal
141,Neolamprologus caudopunctatus,fish,57.7,3.8,53.7,10,,length,standard length (mm),0.074,-0.031,2,monogamy,biparental
142,Neolamprologus pulcher,fish,62,0.6,NA,NA,SE,length,standard length (mm),,,1,NA,cooperative
143,Neovison vison,mammal,1310.2,38.9,780.7,21,SE,mass,body mass (g),0.678,-0.225,2,multiple mating,maternal
144,Nothobranchius furzeri,fish,40,2.7,33,2.5,SD,length,total length (mm),0.212,-0.084,2,multiple mating,none
145,Nuctenea umbratica,invertebrate,0.067,0.021,0.107,0.03,SD,mass,body mass (g),-0.374,0.203,2,monogamy,maternal
146,Oenanthe oenanthe,bird,24,1.5,22.3,2.5,SD,mass,body mass (g),0.076,-0.032,2,monogamy,biparental
147,Orconectes limosus,invertebrate,69.89,NA,62.26,NA,NA,length,total body length (mm),0.123,-0.05,2,multiple mating,maternal
148,Oreochromis niloticus,fish,173,30.1,162,28.7,SD,length,standard length (mm),0.068,-0.029,2,multiple mating,maternal
149,Oxyura australis,bird,787.5,NA,888,NA,NA,mass,body mass (g),-0.113,0.052,2,multiple mating,maternal
150,Palaemon elegans,invertebrate,29.4,NA,38.34,NA,NA,length,body length (mm),-0.233,0.115,2,multiple mating,none
151,Pan troglodytes,mammal,301,15.5,292,15.2,SD,partial.length,femur length (mm),0.031,-0.013,2,multiple mating,maternal
152,Panopeus herbstii,invertebrate,24.33,1.983,23.986,2.296,SD,mass,body mass (g),0.014,-0.006,2,multiple mating,none
153,Pararge aegeria,invertebrate,0.0592,0.0011,0.0889,0.002,SE,mass,body mass (g),-0.334,0.177,2,multiple mating,none
154,Parus major,bird,20.01,0.09,19.43,0.1,SE,partial.length,tarsus length (mm),0.03,-0.013,2,monogamy,biparental
155,Passer domesticus,bird,31.9,1.78,32.85,2.34,SD,mass,body mass (g),-0.029,0.013,2,monogamy,biparental
156,Passer hispaniolensis,bird,28.7,1.91,,,SD,mass,body mass (g),,,0,monogamy,biparental
157,Passer montanus,bird,53.969,3.281,52.58,3.104,SD,partial.length,wing length (mm),0.026,-0.011,2,monogamy,biparental
158,Pelvicachromis pulcher,fish,46,1,38,1,SE,length,standard length (mm),0.211,-0.083,2,monogamy,biparental
159,Perdix perdix,bird,399.1,25.1,390,37.8,SD,mass,body mass (g),0.023,-0.01,2,monogamy,maternal
160,Pericrocotus flammeus,bird,90.5,,86.5,,NA,partial.length,wing length (mm),,,0,multiple mating,maternal
161,Pericrocotus solaris,bird,NA,NA,NA,NA,NA,NA,NA,,,0,monogamy,biparental
162,Peromyscus californicus,mammal,44.36,2.1,44.39,1.56,,mass,body mass (g),-0.001,0,2,monogamy,biparental
163,Peromyscus maniculatus,mammal,17.04,0.24,16.76,0.33,,mass,body mass (g),0.017,-0.007,2,multiple mating,maternal
164,Petroica boodang,bird,NA,NA,NA,NA,NA,NA,NA,,,0,monogamy,biparental
165,Petroica phoenicea,bird,NA,NA,NA,NA,NA,NA,NA,,,0,monogamy,biparental
166,Phaedon cochleariae,invertebrate,0.00704,0.00086,0.00931,0.00088,SD,mass,body mass (g),-0.244,0.121,2,multiple mating,none
167,Phasianus colchicus,bird,1317,NA,953,NA,NA,mass,body mass (g),0.382,-0.14,2,multiple mating,maternal
168,Phodopus sungorus,mammal,89.3,NA,82.3,NA,NA,length,body length (mm),0.085,-0.035,2,multiple mating,maternal
169,Phoenicopterus chilensis,bird,2700,NA,2310,NA,NA,mass,body mass (g),0.169,-0.068,2,monogamy,biparental
170,Phoenicopterus roseus,bird,3540,NA,2530,NA,NA,mass,body mass (g),0.399,-0.146,2,monogamy,biparental
171,Phoenicurus ochruros,bird,84.5,,,,,partial.length,wing length (mm),,,1,monogamy,cooperative
172,Phoenicurus phoenicurus,bird,14.7,1.4,14.5,1.4,SD,mass,body mass (g),0.014,-0.006,2,monogamy,biparental
173,Phylloscopus collybita,bird,61.95,NA,56.57,NA,NA,partial.length,wing length (mm),0.095,-0.039,2,monogamy,maternal
174,Pica pica,bird,221,NA,191,NA,NA,mass,body mass (g),0.157,-0.063,2,monogamy,biparental
175,Picus viridis,bird,NA,NA,215,NA,NA,mass,body mass (g),,,1,monogamy,biparental
176,Plecturocebus moloch,mammal,1020,NA,956,NA,NA,mass,body mass (g),0.067,-0.028,2,monogamy,maternal
177,Plethodon cinereus,reptilia,41.65,0.69,40.73,0.82,SE,length,snout-ventral length (mm),0.023,-0.01,2,monogamy,maternal
178,Poecile palustris,bird,11.78,0.35,10.98,0.57,SD,mass,body mass (g),0.073,-0.031,2,monogamy,biparental
179,Poecilia reticulata,fish,20.06,0.23,26.34,0.28,SE,length,standard length (mm),-0.238,0.118,2,multiple mating,maternal
180,Procambarus clarkii,invertebrate,48.7,NA,46.7,NA,NA,partial.length,carapace length (mm),0.043,-0.018,2,multiple mating,maternal
181,Prunella modularis,bird,71.1,1.3,NA,NA,SD,partial.length,wing length (mm),,,1,monogamy,biparental
182,Psephotus haematonotus,bird,NA,NA,NA,NA,NA,NA,NA,,,0,monogamy,biparental
183,Pteromys volans,mammal,144,NA,155,NA,NA,mass,body mass (g),-0.071,0.032,2,multiple mating,maternal
184,Pterostichus oblongopunctatus,invertebrate,0.0514,NA,0.06,NA,NA,mass,body mass (g),-0.143,0.067,2,NA,none
185,Puma concolor,mammal,42300,1900,26700,1700,SE,mass,body mass (g),0.584,-0.2,2,multiple mating,maternal
186,Pycnonotus jocosus,bird,NA,NA,NA,NA,NA,NA,NA,,,0,monogamy,biparental
187,Pycnonotus sinensis,bird,NA,NA,NA,NA,NA,NA,NA,,,0,monogamy,biparental
188,Pyrrhula pyrrhula,bird,93.65,1.54,92.5,2.1,SD,partial.length,wing length (mm),0.012,-0.005,2,monogamy,biparental
189,Rattus norvegicus,mammal,334.5,NA,230.5,NA,NA,mass,body mass (g),0.451,-0.162,2,multiple mating,maternal
190,Regulus regulus,bird,5.6,0.4,5.5,0.4,SD,mass,body mass (g),0.018,-0.008,2,monogamy,biparental
191,Rhabdomys dilectus,mammal,7.04,NA,9.31,NA,NA,mass,body mass (g),-0.244,0.121,2,NA,biparental
192,Rhabdomys pumilio,mammal,45.7,7.7,43,7.6,,mass,body mass (g),0.063,-0.026,2,multiple mating,biparental
193,Rhinella marina,reptilia,103.388,3.853,137.426,9.177,SE,mass,body mass (g),-0.248,0.124,2,multiple mating,none
194,Saguinus oedipus,mammal,451.4,62.1,473,57.3,SD,mass,body mass (g),-0.046,0.02,2,monogamy,cooperative
195,Saxicola rubetra,bird,75.8,NA,73.4,NA,NA,partial.length,wing length (mm),0.033,-0.014,2,monogamy,biparental
196,Saxicola torquata,bird,68.62,1.5,66.33,1.78,SD,partial.length,wing length (mm),0.035,-0.015,2,monogamy,biparental
197,Sciurus vulgaris,mammal,305,25,316,31,SD,mass,body mass (g),-0.035,0.015,2,multiple mating,maternal
198,Serinus serinus,bird,72.7,NA,70.9,NA,NA,partial.length,wing length (mm),0.025,-0.011,2,NA,biparental
199,Sialia mexicana,bird,25.8,1.1,27.1,1.3,SD,mass,body mass (g),-0.048,0.021,2,monogamy,cooperative
200,Sialia sialis,bird,NA,NA,NA,NA,NA,NA,NA,,,0,monogamy,cooperative
201,Sitophilus zeamais,invertebrate,0.00305,0.00003,0.00316,0.00003,SE,mass,body mass (g),-0.035,0.015,2,multiple mating,none
202,Sitta europaea,bird,90,1.3,87,1.5,SD,partial.length,wing length (mm),0.034,-0.015,2,monogamy,biparental
203,Spheniscus demersus,bird,3310,260,2960,310,SD,mass,body mass (g),0.118,-0.049,2,monogamy,biparental
204,Spinus spinus,bird,13.5,NA,13,NA,NA,mass,body mass (g),0.038,-0.016,2,monogamy,maternal
205,Stagmomantis limbata,invertebrate,0.35,0.17,1.47,0.31,SD,mass,body mass (g),-0.762,0.623,2,multiple mating,maternal
206,Steno bredanensis,mammal,1985,358.43,2165.56,259.23,SD,length,body length (mm),-0.083,0.038,2,multiple mating,maternal
207,Stercorarius antarcticus,bird,1735,75.4,1935,130,SD,mass,body mass (g),-0.103,0.047,2,monogamy,maternal
208,Streptopelia decaocto,bird,152,11.6,146,10.3,SD,mass,body mass (g),0.041,-0.017,2,monogamy,biparental
209,Sturnus vulgaris,bird,87.6,4.8,84.4,4.2,SD,mass,body mass (g),0.038,-0.016,2,monogamy,biparental
210,Sula dactylatra,bird,1484.5,23.3,1750.2,27.4,,mass,body mass (g),-0.152,0.072,2,monogamy,biparental
211,Sus scrofa,mammal,90000,NA,51700,NA,NA,mass,body mass (g),0.741,-0.241,2,multiple mating,maternal
212,Sylvia atricapilla,bird,6.09,0.027,6.135,0.036,SE,partial.length,bill width (mm),-0.007,0.003,2,monogamy,biparental
213,Sylvia communis,bird,NA,NA,NA,NA,NA,NA,NA,,,0,monogamy,biparental
214,Sylvia conspicillata,bird,NA,NA,NA,NA,NA,NA,NA,,,0,monogamy,biparental
215,Sylvia melanocephala,bird,10.33,1.825,10.964,1.67,SD,mass,body mass (g),-0.058,0.026,2,monogamy,biparental
216,Tachymarptis melba,bird,NA,NA,NA,NA,NA,NA,NA,,,0,multiple mating,biparental
217,Tadarida teniotis,mammal,33.15,6.64,34.83,4.9,SD,mass,body mass (g),-0.048,0.021,2,multiple mating,biparental
218,Tadorna tadorna,bird,1261,NA,1043,NA,NA,mass,body mass (g),0.209,-0.082,2,monogamy,biparental
219,Taeniopygia guttata,bird,11.9,0.44,12.6,0.39,SE,mass,body mass (g),-0.056,0.025,2,monogamy,biparental
220,Tamias sibiricus,mammal,150.18,7.13,149.86,8.88,SD,length,body length (mm),0.002,-0.001,2,multiple mating,maternal
221,Tamias striatus,mammal,146.65,7.87,147.62,10.18,SD,length,body length (mm),-0.007,0.003,2,multiple mating,maternal
222,Tenebrio molitor,invertebrate,0.1162,0.007219,0.110747,0.004733,SE,mass,body mass (g),0.049,-0.021,2,multiple mating,none
223,Terrapene carolina,reptilia,492.577,4.41,490.888,6.92,SE,mass,body mass (g),0.003,-0.001,2,multiple mating,none
224,Thamnophis sirtalis,reptilia,438,7,542,5,SE,length,snout-ventral length (mm),-0.192,0.093,2,multiple mating,maternal
225,Thermosphaeroma thermophilum,invertebrate,0.615,0.01,0.374,0.004,SE,length,dorsal length (mm),0.644,-0.216,2,multiple mating,maternal
226,Theropithecus gelada,mammal,26100,NA,13950,NA,NA,mass,body mass (g),0.871,-0.272,2,multiple mating,cooperative
227,Tribolium castaneum,invertebrate,0.0009,0.00012,0.00097,0.00014,SD,mass,body mass (g),-0.072,0.033,2,multiple mating,none
228,Tribolium confusum,invertebrate,0.00269,0.00036,0.00322,0.00033,SE,mass,body mass (g),-0.165,0.078,2,multiple mating,none
229,Turdoides bicolor,bird,NA,NA,NA,NA,NA,NA,NA,,,0,monogamy,cooperative
230,Turdus merula,bird,127.22,3.09,123.8,2.99,SD,partial.length,wing length (mm),0.028,-0.012,2,monogamy,biparental
231,Tursiops aduncus,mammal,2295,150,2286,87.5,SD,length,body length (mm),0.004,-0.002,2,multiple mating,maternal
232,Tursiops truncatus,mammal,2656,85,2497,69,SD,length,body length (mm),0.064,-0.027,2,multiple mating,maternal
233,Upupa epops,bird,74,NA,66,NA,NA,mass,body mass (g),0.121,-0.05,2,monogamy,biparental
234,Vanellus miles,bird,NA,NA,NA,NA,NA,NA,NA,,,0,monogamy,biparental
235,Vanellus vanellus,bird,211,17.9,226,21.8,SD,mass,body mass (g),-0.066,0.03,2,monogamy,biparental
236,Xiphophorus birchmanni,fish,37.29,2.91,34.08,2.89,SD,length,standard length (mm),0.094,-0.039,2,multiple mating,maternal
237,Zygiella x-notata,invertebrate,0.026,0.006,0.038,0.012,SD,mass,body mass (g),-0.316,0.165,2,multiple mating,maternal